,0,1,2,3
700,lingam,train,shd_undir,55
701,lingam,val,shd_dir,75
702,lingam,val,shd_undir,51
703,lingam,test,shd_dir,75
704,lingam,test,shd_undir,45
705,ges,train,shd_dir,43
706,ges,train,shd_undir,32
707,ges,val,shd_dir,38
708,ges,val,shd_undir,29
709,ges,test,shd_dir,35
710,ges,test,shd_undir,24
711,Run - 3,,,
712,pc,train,shd_dir,48
713,pc,train,shd_undir,24
714,pc,val,shd_dir,48
715,pc,val,shd_undir,38
716,pc,test,shd_dir,43
717,pc,test,shd_undir,33
718,lingam,train,shd_dir,92
719,lingam,train,shd_undir,60
720,lingam,val,shd_dir,79
721,lingam,val,shd_undir,49
722,lingam,test,shd_dir,81
723,lingam,test,shd_undir,51
724,ges,train,shd_dir,70
725,ges,train,shd_undir,50
726,ges,val,shd_dir,42
727,ges,val,shd_undir,31
728,ges,test,shd_dir,61
729,ges,test,shd_undir,38
730,Run - 4,,,
731,pc,train,shd_dir,48
732,pc,train,shd_undir,26
733,pc,val,shd_dir,46
734,pc,val,shd_undir,30
735,pc,test,shd_dir,49
736,pc,test,shd_undir,35
737,lingam,train,shd_dir,93
738,lingam,train,shd_undir,59
739,lingam,val,shd_dir,94
740,lingam,val,shd_undir,72
741,lingam,test,shd_dir,78
742,lingam,test,shd_undir,54
743,ges,train,shd_dir,71
744,ges,train,shd_undir,48
745,ges,val,shd_dir,62
746,ges,val,shd_undir,44
747,ges,test,shd_dir,40
748,ges,test,shd_undir,27
749,Run - 5,,,
750,pc,train,shd_dir,50
751,pc,train,shd_undir,28
752,pc,val,shd_dir,44
753,pc,val,shd_undir,34
754,pc,test,shd_dir,43
755,pc,test,shd_undir,31
756,lingam,train,shd_dir,94
757,lingam,train,shd_undir,58
758,lingam,val,shd_dir,80
759,lingam,val,shd_undir,58
760,lingam,test,shd_dir,84
761,lingam,test,shd_undir,62
762,ges,train,shd_dir,45
763,ges,train,shd_undir,34
764,ges,val,shd_dir,57
765,ges,val,shd_undir,42
766,ges,test,shd_dir,44
767,ges,test,shd_undir,29
